concept,instrument,class,year,trades,expR,totR,pf
A3 Donchian H4 Swing,USDCAD,forex,2015,79,0.10297865851250357,8.135314022487782,1.158563568466692
A3 Donchian H4 Swing,USDCAD,forex,2016,87,0.03565950900805726,3.102377283700982,1.0560202503655094
A3 Donchian H4 Swing,USDCAD,forex,2017,82,0.25411965537112924,20.837811740432596,1.5170055573585453
A3 Donchian H4 Swing,USDCAD,forex,2018,74,0.15300966263965804,11.322715035334694,1.260535232125839
A3 Donchian H4 Swing,USDCAD,forex,2019,72,0.13191751356666345,9.498060976799769,1.2323828357885005
A3 Donchian H4 Swing,USDCAD,forex,2020,76,-0.022441190313773653,-1.7055304638467976,0.9608549601286995
TSMomentum,USDJPY,forex,2015,37,0.04036436391064544,1.4934814646938814,1.0736094156131832
TSMomentum,USDJPY,forex,2016,47,0.2342688426405782,11.010635604107176,1.4493830276574353
TSMomentum,USDJPY,forex,2017,44,0.0002211036630174291,0.00972856117276688,1.0003559262026476
TSMomentum,USDJPY,forex,2018,38,0.4313163365188146,16.390020787714956,1.9491220046739408
TSMomentum,USDJPY,forex,2019,46,-0.06893995127558694,-3.171237758676999,0.8805405299309838
TSMomentum,USDJPY,forex,2020,43,-0.17372092981172146,-7.4699999819040235,0.718876363702813
TurnOfMonth,USDJPY,forex,2015,11,0.01958291650422237,0.2154120815464461,1.1032925712006527
TurnOfMonth,USDJPY,forex,2016,12,-0.29013295889566765,-3.4815955067480115,0.4136842031217956
TurnOfMonth,USDJPY,forex,2017,12,0.07069620762883141,0.848354491545977,1.3032655748348922
TurnOfMonth,USDJPY,forex,2018,12,0.04697611395959803,0.5637133675151764,1.3179775548470103
TurnOfMonth,USDJPY,forex,2019,12,-0.38341845693100707,-4.601021483172085,0.3187336548203929
TurnOfMonth,USDJPY,forex,2020,12,0.13649730856424894,1.6379677027709871,1.8175966812470536
ShortTermReversal,USDJPY,forex,2015,31,-0.05224657152319407,-1.6196437172190161,0.9060004861610312
ShortTermReversal,USDJPY,forex,2016,42,-0.023947926488944355,-1.005812912535663,0.9567052301340586
ShortTermReversal,USDJPY,forex,2017,56,-0.17983979356482171,-10.071028439630016,0.7074491321262567
ShortTermReversal,USDJPY,forex,2018,49,0.012743876596516185,0.6244499532292931,1.0236248807168993
ShortTermReversal,USDJPY,forex,2019,40,-0.35298289789211107,-14.119315915684442,0.4680299786889716
ShortTermReversal,USDJPY,forex,2020,46,0.016462018534270696,0.7572528525764519,1.032413883788991
VolContraction,USDJPY,forex,2015,33,0.13755209888776032,4.539219263296091,1.23381173656161
VolContraction,USDJPY,forex,2016,27,-0.20958961546069996,-5.658919617438899,0.6901630358070917
VolContraction,USDJPY,forex,2017,23,-0.15653809738244948,-3.600376239796338,0.747465818196781
VolContraction,USDJPY,forex,2018,27,-0.0978160566118293,-2.641033528519391,0.8482568114006814
VolContraction,USDJPY,forex,2019,28,0.08831821343325053,2.4729099761310147,1.159271311191432
VolContraction,USDJPY,forex,2020,30,0.21572441945176335,6.4717325835529005,1.4187595694816413
A3 Donchian H4 Swing,USDJPY,forex,2015,60,-0.13167971420086994,-7.900782852052195,0.7924128786578389
A3 Donchian H4 Swing,USDJPY,forex,2016,79,0.37637292830229147,29.733461335881024,1.808737957048925
A3 Donchian H4 Swing,USDJPY,forex,2017,84,-0.21714152873069828,-18.239888413378655,0.6249887424988391
A3 Donchian H4 Swing,USDJPY,forex,2018,92,0.014392223781412954,1.3240845878899918,1.0255923405630458
A3 Donchian H4 Swing,USDJPY,forex,2019,75,-0.33565881633036404,-25.1744112247773,0.49615202686217214
A3 Donchian H4 Swing,USDJPY,forex,2020,72,0.013231648501077165,0.9526786920775558,1.020359234209138
TSMomentum,SPX500,index,2015,37,-0.3744310751961496,-13.853949782257535,0.4024091860746872
TSMomentum,SPX500,index,2016,40,-0.22357114216569035,-8.942845686627614,0.6722311445140708
TSMomentum,SPX500,index,2017,40,0.013612866105173893,0.5445146442069557,1.021499262752755
TSMomentum,SPX500,index,2018,46,0.17394256130279295,8.001357819928476,1.3180599240805235
TSMomentum,SPX500,index,2019,42,0.0749238861322256,3.146803217553475,1.1302320235523893
TSMomentum,SPX500,index,2020,42,0.15652552890290128,6.574072213921854,1.284781435603975
TurnOfMonth,SPX500,index,2015,11,-0.2794363120765796,-3.0737994328423754,0.3528391088906372
TurnOfMonth,SPX500,index,2016,14,-0.11552359467453799,-1.6173303254435318,0.602574158227107
TurnOfMonth,SPX500,index,2017,12,0.3438280784067976,4.125936940881571,5.608872754877649
TurnOfMonth,SPX500,index,2018,12,-0.04383265445388399,-0.5259918534466079,0.8421673912721837
TurnOfMonth,SPX500,index,2019,13,0.010609304175160168,0.13792095427708218,1.0274969665049658
TurnOfMonth,SPX500,index,2020,12,0.3915679580963946,4.698815497156735,2.833894375839418
ShortTermReversal,SPX500,index,2015,29,-0.5829042088820982,-16.904222057580846,0.20158350296822916
ShortTermReversal,SPX500,index,2016,44,-0.2025577414317049,-8.912540622995015,0.6726923678522617
ShortTermReversal,SPX500,index,2017,32,0.025986279340917087,0.8315609389093468,1.0456200544984422
ShortTermReversal,SPX500,index,2018,50,0.1691689209989322,8.458446049946609,1.3272201512469488
ShortTermReversal,SPX500,index,2019,51,-0.03667377283691259,-1.8703624146825422,0.9400686174079965
ShortTermReversal,SPX500,index,2020,44,-0.03525627928410839,-1.5512762885007692,0.9328289980416703
VolContraction,SPX500,index,2015,24,-0.13695753046666906,-3.2869807312000576,0.7675195666147965
VolContraction,SPX500,index,2016,24,-0.5293419194854994,-12.704206067651985,0.16615603285468217
VolContraction,SPX500,index,2017,24,-0.23884649467308403,-5.732315872154016,0.6486783400774133
VolContraction,SPX500,index,2018,30,-0.08689809678768672,-2.6069429036306015,0.8641761104865213
VolContraction,SPX500,index,2019,29,-0.14937851463706697,-4.331976924474942,0.774186472220056
VolContraction,SPX500,index,2020,26,-0.35028415398706064,-9.107388003663576,0.5239840645659026
A3 Donchian H4 Swing,SPX500,index,2015,62,-0.2540007467152561,-15.748046296345876,0.6308621244210633
A3 Donchian H4 Swing,SPX500,index,2016,55,-0.2161494330861104,-11.888218819736071,0.6667815825766017
