hold,side,min_surp,weight,hard_stop,trail_stop,trades,sharpe,cagr,maxdd,t
60,both,0.1,0.1,0.05,,101,0.44907596116439147,0.010579313092057951,-0.057830076837237954,1.2362540822148598
90,both,0.02,0.1,0.05,,190,0.4455100199388027,0.019300316396175132,-0.07835092500243857,1.2264374592416727
90,both,0.02,0.2,0.05,,190,0.4455100199388027,0.036870940170064426,-0.15159077812573674,1.2264374592416727
90,both,0.02,0.05,0.05,,190,0.4455100199388027,0.009860765545161465,-0.03982935402324095,1.2264374592416727
90,both,0.0,0.2,0.05,,221,0.4391552904518679,0.03853692416071253,-0.17391934338768278,1.2089436253494632
90,both,0.0,0.05,0.05,,221,0.4391552904518679,0.010377303935143134,-0.04616212490429239,1.2089436253494632
90,both,0.0,0.1,0.05,,221,0.4391552904518679,0.02026835594590426,-0.09049853983069334,1.2089436253494632
90,short,0.0,0.1,0.05,,53,0.4388642805883493,0.009260651295070588,-0.05357273077279323,1.2081425089173858
90,short,0.0,0.2,0.05,,53,0.4388642805883493,0.018134171084882356,-0.1049828276793684,1.2081425089173858
90,short,0.0,0.05,0.05,,53,0.4388642805883493,0.004677931918269929,-0.027059298099398332,1.2081425089173858
90,both,0.05,0.2,0.1,,145,0.42974654717308836,0.04297449761017802,-0.20445338278500735,1.1830424453870716
90,both,0.05,0.1,0.1,,145,0.42974654717308836,0.022869441011172276,-0.10418644068097505,1.1830424453870716
90,both,0.05,0.05,0.1,,145,0.42974654717308836,0.0117693950334965,-0.052727016506679436,1.1830424453870716
40,both,0.1,0.05,0.15,,101,0.4237534693279474,0.006903084408228732,-0.06633389248325627,1.1665441965565697
40,both,0.1,0.1,0.15,,101,0.4237534693279474,0.013575715856330994,-0.12924181664857537,1.1665441965565697
40,both,0.1,0.2,0.15,,101,0.4237534693279474,0.02620820892338438,-0.24517958857556787,1.1665441965565697
20,short,0.02,0.2,,0.1,44,0.41821030275640786,0.009639380871129477,-0.07705830846439998,1.151284501326626
20,short,0.02,0.05,,0.1,44,0.41821030275640786,0.002453583651730762,-0.0197435923920094,1.151284501326626
20,short,0.02,0.1,,0.1,44,0.41821030275640786,0.004878175086125536,-0.039165299775998585,1.151284501326626
40,long,0.1,0.1,0.1,,78,0.407507902906101,0.011501944326753222,-0.06878719745974782,1.1218220347315946
40,long,0.1,0.05,0.1,,78,0.407507902906101,0.0058407594522180695,-0.034830970709434084,1.1218220347315946
40,long,0.1,0.2,0.1,,78,0.407507902906101,0.022274052672283773,-0.13410315828364927,1.1218220347315946
60,long,0.0,0.05,,,168,0.40057600315141006,0.021367783643269966,-0.09367139114435419,1.1027393179746763
60,long,0.0,0.1,,,168,0.40057600315141006,0.039845600427915295,-0.18183553240862205,1.1027393179746763
60,long,0.0,0.2,,,168,0.40057600315141006,0.06747943450356031,-0.34167568945627247,1.1027393179746763
40,long,0.1,0.2,0.15,,78,0.39369535408883277,0.02300410654199747,-0.15381590938286127,1.0837976884342224
40,long,0.1,0.1,0.15,,78,0.39369535408883277,0.011934164862031693,-0.07899937656480815,1.0837976884342224
40,long,0.1,0.05,0.15,,78,0.39369535408883277,0.006073149647097376,-0.04002224555381351,1.0837976884342224
